Name,Team,Url,Type,ValueinCR,Full Name,Born,Age,National Side,Batting Style,Bowling,Sport,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc,lower
Ishan Kishan,MI,https://sports.ndtv.com/cricket/players/107047-ishan-kishan-playerprofile,Wicket-Keeper ,15.25,Ishan Pranav Kumar Pandey Kishan,"July 18, 1998 Patna, Bihar","23 Years, 7 Months, 28 Days",India,Left Handed,Left-arm medium,,61.0,56.0,5.0,1452.0,99 v RCB,0.0,9.0,121.0,74.0,28.47,136.33,19.0,2.0,5.0,5.0,,,,,,,,,,,,,ishan kishan
Jasprit Bumrah,MI,https://sports.ndtv.com/cricket/players/1724-jasprit-bumrah-playerprofile,Bowler ,12.0,Jasprit Jasbirsingh Bumrah,"December 6, 1993 Ahmedabad","28 Years, 3 Months, 9 Days",India,Right Handed,Right-arm fast,IPL,106.0,20.0,15.0,56.0,16* v RPS,0.0,0.0,4.0,1.0,11.2,96.55,13.0,0.0,7.0,1.0,106.0,403.4,5.0,2997.0,130.0,4/14 v DC,14.0,0.0,23.05,7.42,18.63,106.0,jasprit bumrah
Tim David,MI,https://sports.ndtv.com/cricket/players/111686-tim-david-playerprofile,All-Rounder ,8.25,Timothy Hays David,"March 16, 1996 ","26 Years, 0 Months, -1 Days",Singapore,Right Handed,Off break,,1.0,1.0,0.0,1.0,1 v CSK,0.0,0.0,0.0,0.0,1.0,33.33,,,0.0,0.0,,,,,,,,,,,,,tim david
Jofra Archer,MI,https://sports.ndtv.com/cricket/players/64664-jofra-archer-playerprofile,All-Rounder ,8.0,Jofra Chioke Archer,"April 1, 1995 Bridgetown, Barbados","26 Years, 11 Months, 15 Days",England,Right Handed,Right-arm fast,IPL,35.0,23.0,10.0,195.0,27* v CSK,0.0,0.0,11.0,14.0,15.0,157.25,9.0,0.0,5.0,1.0,35.0,137.3,2.0,981.0,46.0,3/15 v PBKS,6.0,0.0,21.32,7.13,17.93,35.0,jofra archer
Suryakumar Yadav,MI,https://sports.ndtv.com/cricket/players/1492-suryakumar-yadav-playerprofile,Batsman ,8.0,Suryakumar Ashok Yadav,"September 14, 1990 Mumbai, Maharashtra","31 Years, 6 Months, 1 Days",India,Right Handed,Right-arm medium,IPL,115.0,100.0,19.0,2341.0,82 v SRH,0.0,13.0,261.0,68.0,28.9,135.71,55.0,0.0,7.0,5.0,1.0,1.0,0.0,8.0,0.0,0/8 v DC,0.0,0.0,,8.0,,1.0,suryakumar yadav
Kieron Pollard,MI,https://sports.ndtv.com/cricket/players/907-kieron-pollard-playerprofile,All-Rounder ,6.0,Kieron Adrian Pollard,"May 12, 1987 Tacarigua, Trinidad","34 Years, 10 Months, 4 Days",West Indies,Right Handed,Right-arm medium,IPL,178.0,160.0,51.0,3268.0,87* v CSK,0.0,16.0,212.0,214.0,29.98,149.77,96.0,0.0,8.0,4.0,101.0,234.0,0.0,2055.0,65.0,4/44 v RR,2.0,0.0,31.61,8.78,21.6,101.0,kieron pollard
Dewald Brevis,MI,https://sports.ndtv.com/cricket/players/115001-dewald-brevis-playerprofile,Batsman ,3.0,Dewald Brevis,"April 29, 2003 Johannesburg","18 Years, 10 Months, 17 Days",South Africa,Right Handed,Leg break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dewald brevis
Daniel Sams,MI,https://sports.ndtv.com/cricket/players/113155-daniel-sams-playerprofile,All-Rounder ,2.6,Daniel Richard Sams,"October 27, 1992 Milperra, New South Wales","29 Years, 4 Months, 19 Days",Australia,Right Handed,Left-arm fast medium,IPL,5.0,3.0,1.0,6.0,3* v DC,0.0,0.0,0.0,0.0,3.0,75.0,3.0,0.0,1.0,0.0,5.0,18.0,0.0,153.0,1.0,1/24 v PBKS,0.0,0.0,153.0,8.5,108.0,5.0,daniel sams
Tilak Varma,MI,https://sports.ndtv.com/cricket/players/112645-tilak-varma-playerprofile,All-Rounder ,1.7,Namboori Thakur Tilak Varma,"November 8, 2002 Hyderabad, Andhra Pradesh","19 Years, 4 Months, 7 Days",India,Left Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tilak varma
Murugan Ashwin,MI,https://sports.ndtv.com/cricket/players/63773-murugan-ashwin-playerprofile,Bowler ,1.6,Murugan Ashwin,"September 8, 1990 Chennai, Tamil Nadu","31 Years, 6 Months, 7 Days",India,Right Handed,Leg break googly,IPL,34.0,8.0,2.0,23.0,9 v SRH,0.0,0.0,1.0,0.0,3.83,63.88,7.0,0.0,1.0,1.0,34.0,112.0,0.0,881.0,26.0,3/21 v RCB,2.0,0.0,33.88,7.86,25.84,34.0,murugan ashwin
Tymal Mills,MI,https://sports.ndtv.com/cricket/players/51462-tymal-solomon-mills-playerprofile,Bowler ,1.5,Tymal Solomon Mills,"August 12, 1992 Dewsbury, Yorkshire","29 Years, 7 Months, 3 Days",England,Right Handed,Left-arm fast,IPL,5.0,3.0,0.0,8.0,6 v SRH,0.0,0.0,0.0,1.0,2.66,72.72,1.0,0.0,1.0,0.0,5.0,17.5,0.0,153.0,5.0,2/31 v KKR,0.0,0.0,30.6,8.57,21.4,5.0,tymal mills
Jaydev Unadkat,MI,https://sports.ndtv.com/cricket/players/1298-jaydev-unadkat-playerprofile,Bowler ,1.3,Jaydev Dipakbhai Unadkat,"October 18, 1991 Porbandar","30 Years, 4 Months, 29 Days",India,Right Handed,Left-arm medium,IPL,86.0,21.0,12.0,105.0,26 v KKR,0.0,0.0,9.0,3.0,11.66,109.37,24.0,0.0,8.0,1.0,85.0,296.0,3.0,2588.0,85.0,5/25 v DC,5.0,2.0,30.44,8.74,20.89,85.0,jaydev unadkat
Riley Meredith,MI,https://sports.ndtv.com/cricket/players/113157-riley-meredith-playerprofile,Bowler ,1.0,Riley Patrick Meredith,"June 21, 1996 Hobart, Tasmania","25 Years, 8 Months, 24 Days",Australia,Right Handed,Right-arm fast,IPL,5.0,1.0,1.0,0.0,0 v RR,0.0,0.0,0.0,0.0,,0.0,,,1.0,0.0,5.0,17.0,0.0,169.0,4.0,1/29 v RCB,0.0,0.0,42.25,9.94,25.5,5.0,riley meredith
Fabian Allen,MI,https://sports.ndtv.com/cricket/players/64663-fabian-allen-playerprofile,All-Rounder ,0.75,Fabian Anthony Allen,"May 7, 1995 Kingston, Jamaica","26 Years, 10 Months, 9 Days",West Indies,Right Handed,Slow left-arm orthodox,IPL,4.0,3.0,2.0,6.0,6 v SRH,0.0,0.0,0.0,0.0,6.0,50.0,2.0,0.0,2.0,0.0,3.0,11.0,1.0,90.0,1.0,1/22 v SRH,0.0,0.0,90.0,8.18,66.0,3.0,fabian allen
Mayank Markande,MI,https://sports.ndtv.com/cricket/players/108589-mayank-markande-playerprofile,Bowler ,0.65,Mayank Markande,"November 11, 1997 Bathinda, Punjab","24 Years, 4 Months, 4 Days",India,Right Handed,Leg break,IPL,18.0,8.0,5.0,27.0,7* v PBKS,0.0,0.0,3.0,0.0,9.0,93.1,3.0,0.0,2.0,0.0,18.0,53.0,0.0,453.0,16.0,4/23 v SRH,1.0,0.0,28.31,8.54,19.87,18.0,mayank markande
Sanjay Yadav,MI,https://sports.ndtv.com/cricket/players/107487-r-sanjay-yadav-playerprofile,All-Rounder ,0.5,Ramsingh Sanjay Yadav,"May 10, 1995 Gorakhpur, Uttar Pradesh","26 Years, 10 Months, 6 Days",India,Left Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sanjay yadav
Basil Thampi,MI,https://sports.ndtv.com/cricket/players/106722-basil-thampi-playerprofile,Bowler ,0.3,Basil Thampi,"September 11, 1993 Ernakulam, Kerala","28 Years, 6 Months, 4 Days",India,Right Handed,Right-arm fast medium,IPL,20.0,8.0,7.0,32.0,13* v SRH,0.0,0.0,1.0,1.0,32.0,91.42,4.0,0.0,2.0,0.0,20.0,70.5,0.0,694.0,17.0,3/29 v MI,1.0,0.0,40.82,9.79,25.0,20.0,basil thampi
Arjun Tendulkar,MI,https://sports.ndtv.com/cricket/players/106841-arjun-tendulkar-playerprofile,All-Rounder ,0.3,Arjun Sachin Tendulkar,"September 24, 1999 Mumbai","22 Years, 5 Months, 22 Days",India,Left Handed,Left-arm medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arjun tendulkar
Ramandeep Singh,MI,https://sports.ndtv.com/cricket/players/108554-ramandeep-singh-playerprofile,All-Rounder ,0.2,Ramandeep Singh,"April 13, 1997 Chandigarh","24 Years, 11 Months, 2 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ramandeep singh
Anmolpreet Singh,MI,https://sports.ndtv.com/cricket/players/108576-anmolpreet-singh-playerprofile,Batsman ,0.2,Anmolpreet Singh,"March 28, 1998 Patiala, Punjab","23 Years, 11 Months, 18 Days",India,Right Handed,Off break,,1.0,1.0,0.0,16.0,16 v CSK,0.0,0.0,2.0,1.0,16.0,114.28,,,0.0,0.0,,,,,,,,,,,,,anmolpreet singh
Aryan Juyal,MI,https://sports.ndtv.com/cricket/players/110596-aryan-juyal-playerprofile,Wicket-Keeper ,0.2,Aryan Juyal,"November 11, 2001 Moradabad, Uttar Pradesh","20 Years, 4 Months, 4 Days",India,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aryan juyal
Arshad Khan,MI,https://sports.ndtv.com/cricket/players/115342-arshad-khan-playerprofile,All-Rounder ,0.2,Mohd Arshad Khan,"December 20, 1997 Gopalganj","24 Years, 2 Months, 26 Days",India,Left Handed,Left-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arshad khan
Rahul Buddhi,MI,https://sports.ndtv.com/cricket/players/115338-rahul-buddhi-playerprofile,Batsman ,0.2,Rahul Ravinder Buddhi,"September 20, 1997 Hyderabad","24 Years, 5 Months, 25 Days",India,Left Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rahul buddhi
Hrithik Shokeen,MI,https://sports.ndtv.com/cricket/players/115315-hrithik-shokeen-playerprofile,All-Rounder ,0.2,Hrithik Rakesh Shokeen,"August 14, 2000 Delhi","21 Years, 7 Months, 1 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hrithik shokeen
Ravindra Jadeja,CSK,https://sports.ndtv.com/cricket/players/855-ravindra-jadeja-playerprofile,All-Rounder ,16.0,Ravindrasinh Anirudhsinh Jadeja,"December 6, 1988 Navagam-Khed, Saurashtra","33 Years, 3 Months, 9 Days",India,Left Handed,Slow left-arm orthodox,IPL,200.0,151.0,63.0,2386.0,62* v RCB,0.0,2.0,176.0,85.0,27.11,128.14,81.0,0.0,10.0,5.0,171.0,501.1,2.0,3816.0,127.0,5/16 v DCH,8.0,1.0,30.04,7.61,23.67,171.0,ravindra jadeja
Deepak Chahar,CSK,https://sports.ndtv.com/cricket/players/60022-deepak-lokandersingh-chahar-playerprofile,Bowler ,14.0,Deepak Lokandersingh Chahar,"August 7, 1992 Agra, Uttar Pradesh","29 Years, 7 Months, 8 Days",India,Right Handed,Right-arm medium,IPL,63.0,12.0,5.0,79.0,39 v PBKS,0.0,0.0,2.0,6.0,11.28,138.59,12.0,0.0,4.0,0.0,63.0,220.4,6.0,1722.0,59.0,4/13 v PBKS,3.0,0.0,29.18,7.8,22.44,63.0,deepak chahar
MS Dhoni,CSK,https://sports.ndtv.com/cricket/players/700-ms-dhoni-playerprofile,Wicket-Keeper ,12.0,Mahendra Singh Dhoni,"July 7, 1981 Ranchi, Bihar (now Jharkhand)","40 Years, 8 Months, 8 Days",India,Right Handed,Right-arm medium,,220.0,193.0,73.0,4746.0,84* v RCB,0.0,23.0,325.0,219.0,39.55,135.83,126.0,39.0,5.0,9.0,,,,,,,,,,,,,ms dhoni
Moeen Ali,CSK,https://sports.ndtv.com/cricket/players/42413-moeen-munir-ali-playerprofile,All-Rounder ,8.0,Moeen Munir Ali,"June 18, 1987 Birmingham, Warwickshire","34 Years, 8 Months, 28 Days",England,Left Handed,Off break,IPL,34.0,32.0,3.0,666.0,66 v KKR,0.0,4.0,52.0,42.0,22.96,146.37,11.0,0.0,4.0,3.0,27.0,68.3,0.0,469.0,16.0,3/7 v RR,1.0,0.0,29.31,6.84,25.68,27.0,moeen ali
Ambati Rayudu,CSK,https://sports.ndtv.com/cricket/players/1003-ambati-rayudu-playerprofile,Wicket-Keeper ,6.75,Ambati Thirupathi Rayudu,"September 23, 1985 Guntur,Andhra Pradesh","36 Years, 5 Months, 22 Days",India,Right Handed,Off break,,175.0,164.0,31.0,3916.0,100* v SRH,1.0,21.0,324.0,149.0,29.44,127.47,58.0,2.0,14.0,14.0,,,,,,,,,,,,,ambati rayudu
Ruturaj Gaikwad,CSK,https://sports.ndtv.com/cricket/players/108591-ruturaj-gaikwad-playerprofile,Batsman ,6.0,Ruturaj Dashrat Gaikwad,"January 31, 1997 Pune, Maharashtra","25 Years, 1 Months, 12 Days",India,Right Handed,Off break,,22.0,22.0,4.0,839.0,101* v RR,1.0,7.0,80.0,29.0,46.61,132.12,10.0,0.0,2.0,1.0,,,,,,,,,,,,,ruturaj gaikwad
Dwayne Bravo,CSK,https://sports.ndtv.com/cricket/players/626-dwayne-bravo-playerprofile,All-Rounder ,4.4,Dwayne John Bravo,"October 7, 1983 Santa Cruz, Trinidad","38 Years, 5 Months, 9 Days",West Indies,Right Handed,Right-arm medium,IPL,151.0,107.0,40.0,1537.0,70* v PBKS,0.0,5.0,119.0,65.0,22.94,130.25,77.0,0.0,8.0,2.0,148.0,485.3,2.0,4061.0,167.0,4/22 v PBKS,12.0,0.0,24.31,8.36,17.44,148.0,dwayne bravo
Shivam Dube,CSK,https://sports.ndtv.com/cricket/players/107521-shivam-dubey-playerprofile,All-Rounder ,4.0,Shivam Dube,"June 26, 1993 Mumbai","28 Years, 8 Months, 19 Days",India,Left Handed,Right-arm medium,IPL,24.0,22.0,4.0,399.0,64* v CSK,0.0,1.0,24.0,22.0,22.16,120.54,5.0,0.0,0.0,1.0,11.0,15.4,0.0,130.0,4.0,2/15 v SRH,0.0,0.0,32.5,8.29,23.5,11.0,shivam dube
Chris Jordan,CSK,https://sports.ndtv.com/cricket/players/1573-chris-jordan-playerprofile,All-Rounder ,3.6,Christopher James Jordan,"October 4, 1988 Barbados","33 Years, 5 Months, 11 Days",England,Right Handed,Right-arm fast medium,IPL,24.0,9.0,2.0,64.0,30 v KKR,0.0,0.0,3.0,3.0,9.14,112.28,9.0,0.0,2.0,2.0,24.0,76.3,0.0,698.0,25.0,4/11 v GL,2.0,0.0,27.92,9.12,18.36,24.0,chris jordan
Robin Uthappa,CSK,https://sports.ndtv.com/cricket/players/738-robin-uthappa-playerprofile,Batsman ,2.0,Robin Venu Uthappa,"November 11, 1985 Coorg, Karnataka","36 Years, 4 Months, 4 Days",India,Right Handed,Right-arm medium,,193.0,186.0,17.0,4722.0,87 v RPS,0.0,25.0,462.0,168.0,27.94,130.15,87.0,32.0,7.0,9.0,,,,,,,,,,,,,robin uthappa
Mitchell Santner,CSK,https://sports.ndtv.com/cricket/players/51086-mitchell-josef-santner-playerprofile,All-Rounder ,1.9,Mitchell Josef Santner,"February 5, 1992 Hamilton","30 Years, 1 Months, 8 Days",New Zealand,Left Handed,Slow left-arm orthodox,IPL,6.0,2.0,1.0,32.0,22 v MI,0.0,0.0,0.0,3.0,32.0,139.13,2.0,0.0,0.0,0.0,6.0,21.0,0.0,147.0,6.0,2/13 v MI,0.0,0.0,24.5,7.0,21.0,6.0,mitchell santner
Adam Milne,CSK,https://sports.ndtv.com/cricket/players/1510-adam-milne-playerprofile,Bowler ,1.9,Adam Fraser Milne,"April 13, 1992 Palmerston North","29 Years, 11 Months, 2 Days",New Zealand,Right Handed,Right-arm fast,IPL,9.0,6.0,2.0,23.0,15 v CSK,0.0,0.0,0.0,1.0,5.75,79.31,7.0,0.0,2.0,0.0,9.0,32.0,0.0,308.0,7.0,2/21 v CSK,0.0,0.0,44.0,9.62,27.42,9.0,adam milne
Rajvardhan Hangargekar,CSK,https://sports.ndtv.com/cricket/players/114985-rajvardhan-hangargekar-playerprofile,All-Rounder ,1.5,Rajvardhan S Hangargekar,"November 10, 2002 Tuljapur, Maharashtra","19 Years, 4 Months, 5 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rajvardhan hangargekar
Prashant Solanki,CSK,https://sports.ndtv.com/cricket/players/115325-prashant-solanki-playerprofile,Bowler ,1.2,Prashant Hitesh Solanki,"February 22, 2000 ","22 Years, 0 Months, 22 Days",India,Right Handed,Leg break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prashant solanki
Devon Conway,CSK,https://sports.ndtv.com/cricket/players/45400-devon-philip-conway-playerprofile,Batsman ,1.0,Devon Philip Conway,"July 8, 1991 Johannesburg, Transvaal","30 Years, 8 Months, 8 Days",South Africa,Left Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,devon conway
Maheesh Theekshana,CSK,https://sports.ndtv.com/cricket/players/113459-maheesh-theekshana-playerprofile,Bowler ,0.7,Morawakage Maheesh Theekshana,"August 1, 2000 Colombo","21 Years, 7 Months, 14 Days",Sri Lanka,Right Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maheesh theekshana
Dwaine Pretorius,CSK,https://sports.ndtv.com/cricket/players/1603-dwaine-pretorius-playerprofile,All-Rounder ,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dwaine pretorius
Narayan Jagadeesan,CSK,https://sports.ndtv.com/cricket/players/108567-narayan-jagadeesan-playerprofile,Wicket-Keeper ,0.2,Narayan Jagadeesan,"December 24, 1995 Coimbatore, Tamil Nadu","26 Years, 2 Months, 23 Days",India,Right Handed,,,5.0,2.0,0.0,33.0,33 v RCB,0.0,0.0,4.0,0.0,16.5,113.79,,,1.0,1.0,,,,,,,,,,,,,narayan jagadeesan
KM Asif,CSK,https://sports.ndtv.com/cricket/players/108603-km-asif-playerprofile,Bowler ,0.2,KM Asif,"July 24, 1993 Edavanna,Malappuram","28 Years, 7 Months, 22 Days",India,Right Handed,Right-arm medium,IPL,3.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,3.0,8.1,0.0,93.0,4.0,2/43 v DC,0.0,0.0,23.25,11.38,12.25,3.0,km asif
Tushar Deshpande,CSK,https://sports.ndtv.com/cricket/players/107528-tushar-deshpande-playerprofile,Bowler ,0.2,Tushar Uday Deshpande,"May 15, 1995 Mumbai","26 Years, 10 Months, 1 Days",India,Left Handed,Right-arm medium,IPL,5.0,2.0,1.0,21.0,20* v SRH,0.0,0.0,2.0,1.0,21.0,175.0,1.0,0.0,0.0,0.0,5.0,17.0,0.0,192.0,3.0,2/37 v RR,0.0,0.0,64.0,11.29,34.0,5.0,tushar deshpande
Subhranshu Senapati,CSK,https://sports.ndtv.com/cricket/players/113463-subhranshu-senapati-playerprofile,Batsman ,0.2,Subhranshu Pradeep Senapati,"December 30, 1996 Keonijhar, Orissa","25 Years, 2 Months, 16 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,subhranshu senapati
Bhagath Varma,CSK,https://sports.ndtv.com/cricket/players/113485-k-bhagath-varma-playerprofile,All-Rounder ,0.2,Kanumuri Bhagath Varma,"September 21, 1998 Hyderabad, Andrha Pradesh","23 Years, 5 Months, 24 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bhagath varma
Simarjeet Singh,CSK,https://sports.ndtv.com/cricket/players/113456-simarjeet-singh-playerprofile,Bowler ,0.2,Simarjeet Singh,"January 17, 1998 Delhi","24 Years, 1 Months, 26 Days",India,Right Handed,Right-arm fast medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simarjeet singh
Hari Nishaanth,CSK,https://sports.ndtv.com/cricket/players/113431-c-hari-nishanth-playerprofile,Batsman ,0.2,Chezhian Nishaanth,"August 16, 1996 Ooty (now Udagamandalam), Tamil Nadu","25 Years, 7 Months, -1 Days",India,Left Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hari nishaanth
Mukesh Choudhary,CSK,https://sports.ndtv.com/cricket/players/113453-mukesh-choudhary-playerprofile,Bowler ,0.2,Mukesh Choudhary,"July 6, 1996 Pardodas, Bhilwara, Rajsthan","25 Years, 8 Months, 9 Days",India,Left Handed,Left-arm fast medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mukesh choudhary
Shreyas Iyer,KKR,https://sports.ndtv.com/cricket/players/64384-shreyas-santosh-iyer-playerprofile,Batsman ,12.25,Shreyas Santosh Iyer,"December 6, 1994 Mumbai","27 Years, 3 Months, 9 Days",India,Right Handed,Leg break googly,,87.0,87.0,12.0,2375.0,96 v GL,0.0,16.0,196.0,88.0,31.66,123.95,34.0,0.0,6.0,4.0,,,,,,,,,,,,,shreyas iyer
Andre Russell,KKR,https://sports.ndtv.com/cricket/players/1536-andre-russell-playerprofile,All-Rounder ,12.0,Andre Dwayne Russell,"April 29, 1988 Jamaica","33 Years, 10 Months, 16 Days",West Indies,Right Handed,Right-arm fast,IPL,84.0,70.0,12.0,1700.0,88* v CSK,0.0,9.0,119.0,143.0,29.31,178.57,25.0,0.0,3.0,5.0,76.0,210.1,0.0,1901.0,72.0,5/15 v MI,6.0,1.0,26.4,9.04,17.51,76.0,andre russell
Nitish Rana,KKR,https://sports.ndtv.com/cricket/players/64080-nitish-rana-playerprofile,All-Rounder ,8.0,Nitish Rana,"December 27, 1993 Delhi","28 Years, 2 Months, 19 Days",India,Left Handed,Off break,IPL,77.0,71.0,7.0,1820.0,87 v CSK,0.0,13.0,161.0,89.0,28.43,132.46,15.0,0.0,6.0,3.0,16.0,19.1,0.0,154.0,7.0,2/11 v RCB,0.0,0.0,22.0,8.03,16.42,16.0,nitish rana
Varun Chakravarthy,KKR,https://sports.ndtv.com/cricket/players/110973-varun-chakravarthy-playerprofile,Bowler ,8.0,Varun Chakravarthy Vinod,"August 29, 1991 Bidar, Karnataka","30 Years, 6 Months, 18 Days",India,Right Handed,Leg break googly,IPL,31.0,6.0,3.0,12.0,7* v RCB,0.0,0.0,0.0,0.0,4.0,63.15,4.0,0.0,2.0,2.0,31.0,123.0,0.0,839.0,36.0,5/20 v DC,1.0,1.0,23.3,6.82,20.5,31.0,varun chakravarthy
Venkatesh Iyer,KKR,https://sports.ndtv.com/cricket/players/110573-venkatesh-iyer-playerprofile,All-Rounder ,8.0,Venkatesh Rajasekaran Iyer,"December 25, 1994 Indore, Madhya Pradesh","27 Years, 2 Months, 21 Days",India,Left Handed,Right-arm medium,IPL,10.0,10.0,1.0,370.0,67 v PBKS,0.0,4.0,37.0,14.0,41.11,128.47,7.0,0.0,0.0,0.0,4.0,8.3,0.0,69.0,3.0,2/29 v DC,0.0,0.0,23.0,8.11,17.0,4.0,venkatesh iyer
Shivam Mavi,KKR,https://sports.ndtv.com/cricket/players/108563-shivam-mavi-playerprofile,All-Rounder ,7.25,Shivam Pankaj Mavi,"November 26, 1998 Noida, Uttar Pradesh","23 Years, 3 Months, 19 Days",India,Right Handed,Right-arm fast medium,IPL,26.0,9.0,2.0,48.0,20 v CSK,0.0,0.0,4.0,2.0,6.85,97.95,12.0,0.0,3.0,0.0,26.0,86.1,2.0,715.0,25.0,4/21 v RR,0.0,0.0,28.6,8.29,20.68,26.0,shivam mavi
Pat Cummins,KKR,https://sports.ndtv.com/cricket/players/1656-pat-cummins-playerprofile,All-Rounder ,7.25,Patrick James Cummins,"May 8, 1993 Westmead, Sydney","28 Years, 10 Months, 7 Days",Australia,Right Handed,Right-arm fast,IPL,37.0,26.0,10.0,316.0,66* v CSK,0.0,2.0,19.0,20.0,19.75,140.44,7.0,0.0,4.0,0.0,37.0,139.0,1.0,1145.0,38.0,4/34 v RR,2.0,0.0,30.13,8.23,21.94,37.0,pat cummins
Sunil Narine,KKR,https://sports.ndtv.com/cricket/players/1456-sunil-narine-playerprofile,All-Rounder ,6.0,Sunil Philip Narine,"May 26, 1988 Arima","33 Years, 9 Months, 20 Days",West Indies,Left Handed,Off break,IPL,134.0,76.0,15.0,954.0,75 v PBKS,0.0,4.0,106.0,57.0,15.63,161.69,21.0,0.0,13.0,5.0,133.0,520.1,3.0,3508.0,143.0,5/19 v PBKS,6.0,1.0,24.53,6.74,21.82,133.0,sunil narine
Umesh Yadav,KKR,https://sports.ndtv.com/cricket/players/1258-umesh-yadav-playerprofile,Bowler ,2.0,Umeshkumar Tilak Yadav,"October 25, 1987 Nagpur, Maharashtra","34 Years, 4 Months, 22 Days",India,Right Handed,Right-arm fast,IPL,121.0,38.0,24.0,122.0,24* v RR,0.0,0.0,11.0,4.0,8.71,95.31,29.0,0.0,11.0,2.0,120.0,420.2,3.0,3579.0,119.0,4/24 v RR,12.0,0.0,30.07,8.51,21.19,120.0,umesh yadav
Sam Billings,KKR,https://sports.ndtv.com/cricket/players/51406-samuel-william-billings-playerprofile,Wicket-Keeper ,2.0,Samuel William Billings,"June 15, 1991 Pembury, Kent","30 Years, 9 Months, 1 Days",England,Right Handed,,,22.0,19.0,0.0,334.0,56 v KKR,0.0,3.0,31.0,10.0,17.57,133.6,13.0,0.0,3.0,1.0,,,,,,,,,,,,,sam billings
Tim Southee,KKR,https://sports.ndtv.com/cricket/players/1032-tim-southee-playerprofile,Bowler ,1.5,Timothy Grant Southee,"December 11, 1988 Whangarei, Northland","33 Years, 3 Months, 4 Days",New Zealand,Right Handed,Right-arm medium fast,IPL,43.0,15.0,6.0,118.0,36* v CSK,0.0,0.0,8.0,4.0,13.11,124.21,19.0,0.0,1.0,3.0,43.0,160.0,2.0,1388.0,31.0,3/24 v SRH,2.0,0.0,44.77,8.67,30.96,43.0,tim southee
Alex Hales,KKR,https://sports.ndtv.com/cricket/players/1562-alex-hales-playerprofile,Batsman ,1.5,Alexander Daniel Hales,"January 3, 1989 Hillingdon, Middlesex","33 Years, 2 Months, 12 Days",England,Right Handed,Right-arm medium,,6.0,6.0,0.0,148.0,45 v DC,0.0,0.0,13.0,6.0,24.66,125.42,2.0,0.0,,,,,,,,,,,,,,,alex hales
Mohammad Nabi,KKR,https://sports.ndtv.com/cricket/players/1313-mohammad-nabi-playerprofile,All-Rounder ,1.0,Mohammad Nabi,"January 1, 1985 Loger, Afghanistan","37 Years, 2 Months, 14 Days",Afghanistan,Right Handed,Off break,IPL,17.0,14.0,2.0,180.0,31 v MI,0.0,0.0,16.0,9.0,15.0,151.26,11.0,0.0,0.0,1.0,17.0,57.1,0.0,408.0,13.0,4/11 v RCB,0.0,0.0,31.38,7.13,26.38,17.0,mohammad nabi
Ajinkya Rahane,KKR,https://sports.ndtv.com/cricket/players/965-ajinkya-rahane-playerprofile,Batsman ,1.0,Ajinkya Madhukar Rahane,"June 6, 1988 Ashwi-KD,Maharashtra","33 Years, 9 Months, 9 Days",India,Right Handed,Right-arm medium,IPL,151.0,141.0,16.0,3941.0,105* v DC,2.0,28.0,417.0,76.0,31.52,121.33,58.0,0.0,13.0,7.0,1.0,1.0,0.0,5.0,1.0,1/5 v PBKS,0.0,0.0,5.0,5.0,6.0,1.0,ajinkya rahane
Sheldon Jackson,KKR,https://sports.ndtv.com/cricket/players/27641-sheldon-philip-jackson-playerprofile,Wicket-Keeper ,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sheldon jackson
